,"Cercocarpus montanus"
,"Keckiella  breviflora"
,"Lupinus  albifrons"
,"Pinus  ponderosa"
,"Pinus sabiana"
,"Quercus douglasi"
,"Quercus garrayana"
,"Rhamus  ilicifolia"
,"Sambucus  nigra"
"Arctostaphylos viscida","Arctostaphylos viscida"
"Calocedrus decurrens","Calocedrus decurrens"
"Ceanothus cuneatus","Ceanothus cuneatus"
"Ceanothus leucodermis","Ceanothus leucodermis"
"Pinus ponderosa","Pinus ponderosa"
"Quercus chrysolepis","Quercus chrysolepis"
"Quercus wislizeni","Quercus wislizeni"
